Employee_ID,Age,Gender,Department,Job_Role,City,Education,Employment_Type,Experience_Years,Salary,Joining_Date,Tenure_Years,Performance_Rating,Job_Satisfaction,Overtime,Monthly_Work_Hours,Leave_Days,Absent_Days,Manager_ID,Attrition
E00001,38,Male,Finance,Audit Associate,Chennai,Bachelor's,Full-Time,17,150000,2014-04-08,12.4,4.0,4.0,No,164,3.0,5,M116,No
E00002,26,Female,Customer Support,Support Executive,Chennai,Bachelor's,Full-Time,3,69000,2024-05-14,2.3,1.0,2.0,No,217,7.0,3,M004,Yes
E00003,35,Male,Operations,Operations Analyst,Hyderabad,MBA,Full-Time,15,125000,2018-06-20,8.2,4.0,3.0,No,180,4.0,5,M101,No
E00004,34,Male,Operations,Process Associate,Lucknow,Bachelor's,Full-Time,8,108000,2020-07-26,6.1,4.0,3.0,No,164,9.0,4,M012,No
E00005,36,Male,IT,Data Analyst,Mumbai,MBA,Full-Time,13,141000,2016-09-01,10.0,2.0,3.0,Yes,176,14.0,3,M053,No
E00006,35,Female,IT,Data Analyst,Bangalore,Bachelor's,Part-Time,14,81000,2018-12-20,7.7,3.0,4.0,No,132,4.0,5,M051,No
E00007,37,Male,IT,IT Support,Noida,MBA,Full-Time,17,148000,2018-10-08,7.9,4.0,4.0,Yes,186,5.0,4,M016,Yes
E00008,32,Male,Marketing,Brand Executive,Delhi,MBA,Full-Time,12,136000,2020-04-08,6.4,3.0,2.0,No,214,10.0,5,M017,No
E00009,34,Male,Operations,Process Associate,Noida,Bachelor's,Full-Time,13,117000,2019-10-08,6.9,4.0,4.0,No,130,9.0,2,M104,No
E00010,25,Female,Operations,Operations Analyst,Noida,Bachelor's,Full-Time,3,76000,2025-04-08,1.4,3.0,4.0,No,163,6.0,5,M095,No
E00011,32,Female,IT,Data Engineer,Bangalore,Bachelor's,Part-Time,11,69000,2018-07-27,8.1,4.0,4.0,Yes,166,7.0,2,M026,No
E00012,44,Other,Customer Support,Customer Success Associate,Noida,Master's,Full-Time,20,153000,2014-09-01,12.0,4.0,5.0,No,184,9.0,5,M002,No
E00013,36,Male,Marketing,Marketing Executive,Delhi,Master's,Contract,12,104000,2017-01-25,9.6,3.0,3.0,Yes,206,11.0,2,M029,No
E00014,34,Male,Sales,Sales Executive,Hyderabad,Master's,Full-Time,12,115000,2020-01-26,6.6,3.0,4.0,No,175,5.0,3,M094,Yes
E00015,47,Male,Sales,Account Manager,Pune,Bachelor's,Full-Time,25,154000,2010-11-14,15.8,5.0,5.0,No,207,6.0,2,M112,No
