Employee_ID,Age,Gender,Department,Job_Role,City,Education,Employment_Type,Experience_Years,Salary,Joining_Date,Tenure_Years,Performance_Rating,Job_Satisfaction,Overtime,Monthly_Work_Hours,Leave_Days,Absent_Days,Manager_ID,Attrition,Attrition_Flag,Age_Group,Experience_Group,Tenure_Group
E00001,38,Male,Finance,Audit Associate,Chennai,Bachelor's,Full-Time,17,150000,2014-04-08,12.4,4.0,4.0,No,164,3.0,5,M116,No,0,36-45,11-20,11-20
E00002,26,Female,Customer Support,Support Executive,Chennai,Bachelor's,Full-Time,3,69000,2024-05-14,2.3,1.0,2.0,No,217,7.0,3,M004,Yes,1,26-35,3-5,3-5
E00003,35,Male,Operations,Operations Analyst,Hyderabad,MBA,Full-Time,15,125000,2018-06-20,8.2,4.0,3.0,No,180,4.0,5,M101,No,0,26-35,11-20,6-10
E00004,34,Male,Operations,Process Associate,Lucknow,Bachelor's,Full-Time,8,108000,2020-07-26,6.1,4.0,3.0,No,164,9.0,4,M012,No,0,26-35,6-10,6-10
E00005,36,Male,IT,Data Analyst,Mumbai,MBA,Full-Time,13,141000,2016-09-01,10.0,2.0,3.0,Yes,176,14.0,3,M053,No,0,36-45,11-20,6-10
E00006,35,Female,IT,Data Analyst,Bangalore,Bachelor's,Part-Time,14,81000,2018-12-20,7.7,3.0,4.0,No,132,4.0,5,M051,No,0,26-35,11-20,6-10
E00007,37,Male,IT,IT Support,Noida,MBA,Full-Time,17,148000,2018-10-08,7.9,4.0,4.0,Yes,186,5.0,4,M016,Yes,1,36-45,11-20,6-10
E00008,32,Male,Marketing,Brand Executive,Delhi,MBA,Full-Time,12,136000,2020-04-08,6.4,3.0,2.0,No,214,10.0,5,M017,No,0,26-35,11-20,6-10
E00009,34,Male,Operations,Process Associate,Noida,Bachelor's,Full-Time,13,117000,2019-10-08,6.9,4.0,4.0,No,130,9.0,2,M104,No,0,26-35,11-20,6-10
E00010,25,Female,Operations,Operations Analyst,Noida,Bachelor's,Full-Time,3,76000,2025-04-08,1.4,3.0,4.0,No,163,6.0,5,M095,No,0,18-25,3-5,0-2
E00011,32,Female,IT,Data Engineer,Bangalore,Bachelor's,Part-Time,11,69000,2018-07-27,8.1,4.0,4.0,Yes,166,7.0,2,M026,No,0,26-35,11-20,6-10
E00012,44,Other,Customer Support,Customer Success Associate,Noida,Master's,Full-Time,20,153000,2014-09-01,12.0,4.0,5.0,No,184,9.0,5,M002,No,0,36-45,11-20,11-20
E00013,36,Male,Marketing,Marketing Executive,Delhi,Master's,Contract,12,104000,2017-01-25,9.6,3.0,3.0,Yes,206,11.0,2,M029,No,0,36-45,11-20,6-10
E00014,34,Male,Sales,Sales Executive,Hyderabad,Master's,Full-Time,12,115000,2020-01-26,6.6,3.0,4.0,No,175,5.0,3,M094,Yes,1,26-35,11-20,6-10
E00015,47,Male,Sales,Account Manager,Pune,Bachelor's,Full-Time,25,154000,2010-11-14,15.8,5.0,5.0,No,207,6.0,2,M112,No,0,46-55,21+,11-20
E00016,24,Female,Sales,Sales Executive,Lucknow,Bachelor's,Full-Time,0,67000,2026-06-20,0.2,3.0,4.0,No,171,7.0,2,M047,No,0,18-25,0-2,0-2
E00017,26,Male,Sales,Sales Manager,Bangalore,Bachelor's,Full-Time,5,69000,2022-09-01,4.0,4.0,3.0,Yes,176,6.0,4,M011,No,0,26-35,3-5,3-5
E00018,46,Male,HR,Recruiter,Delhi,Bachelor's,Full-Time,26,171000,2009-06-20,17.2,5.0,4.0,No,174,16.0,2,M101,No,0,46-55,21+,11-20
E00019,34,Female,Finance,Financial Analyst,Pune,Master's,Full-Time,12,123000,2019-06-21,7.2,2.0,4.0,No,190,8.0,6,M034,No,0,26-35,11-20,6-10
E00020,32,Male,Sales,Sales Executive,Pune,MBA,Full-Time,16,152000,2013-12-20,12.7,3.0,2.0,Yes,160,7.0,8,M118,No,0,26-35,11-20,11-20
E00021,26,Male,Operations,Process Associate,Pune,Master's,Full-Time,2,72000,2025-07-27,1.1,2.0,2.0,No,183,8.0,5,M071,No,0,26-35,0-2,0-2
E00022,37,Male,IT,IT Support,Bangalore,Bachelor's,Full-Time,14,141000,2019-12-20,6.7,3.0,3.0,No,146,5.0,4,M103,No,0,36-45,11-20,6-10
E00023,38,Male,Sales,Sales Executive,Mumbai,PhD,Contract,15,107000,2017-04-08,9.4,3.0,2.0,No,163,7.0,0,M029,Yes,1,36-45,11-20,6-10
E00024,26,Female,Finance,Accountant,Delhi,Master's,Full-Time,4,103000,2023-07-27,3.1,4.0,4.0,Yes,157,12.0,4,M097,No,0,26-35,3-5,3-5
E00025,33,Male,Finance,Finance Manager,Chennai,MBA,Full-Time,10,141000,2022-01-25,4.6,4.0,4.0,Yes,170,4.0,5,M049,No,0,26-35,6-10,3-5
E00026,32,Female,Marketing,Marketing Executive,Mumbai,Master's,Full-Time,6,88000,2022-07-27,4.1,3.0,3.0,No,162,4.0,7,M120,No,0,26-35,6-10,3-5
E00027,36,Male,Sales,Sales Executive,Mumbai,Bachelor's,Contract,13,94000,2017-10-08,8.9,3.0,4.0,Yes,188,10.0,10,M091,No,0,36-45,11-20,6-10
