Job_Role,Employees,Avg_Salary,Avg_Performance,Attrition_Rate
Operations Manager,138,108507.2463768116,3.528985507246377,16.666666666666664
Process Associate,135,103837.03703703704,3.4296296296296296,12.592592592592592
Operations Analyst,127,113007.87401574804,3.5039370078740157,21.25984251968504
Sales Manager,115,114182.60869565218,3.4956521739130433,20.0
Operations Executive,113,109982.30088495575,3.4070796460176993,17.699115044247787
BI Analyst,106,117641.50943396226,3.3773584905660377,11.320754716981133
Sales Executive,105,108485.71428571429,3.2476190476190476,29.523809523809526
Data Engineer,104,116711.53846153847,3.4326923076923075,19.230769230769234
Business Development Executive,104,109326.92307692308,3.3461538461538463,18.269230769230766
Account Manager,99,114686.8686868687,3.4444444444444446,16.161616161616163
